title,artist,album,year,genre,label,file_path,tempo,timbre
Router (Original Mix),Pangaea,You & I / Router,2008-11-03,Dubstep,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea - You and I Router [HES006]/pangaea-02-router_(original_mix)-ccat.mp3,135.99917763157896,"-207.71608,89.278046,14.768748,18.624517,5.6507053,10.14305,8.4994335,6.642727,4.5075936,5.4811573,0.6446623,2.2297256,5.654202,10.677282,0.09883106,1.3052064,-3.6071904,2.4369817,6.8036404,5.919981"
Coiled,Pangaea,[HES 002] Pangaea - Coiled / Nest / Deviant,2007,Dubstep,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea - [HES002] Coiled  Nest  Deviant/01 Pangaea - Coiled.mp3,92.28515625,"-202.73622,110.72703,35.147755,21.543554,16.598433,22.088335,7.581227,7.1488914,2.4297407,3.8902946,2.6547835,5.331309,0.60729426,5.063946,1.3088497,1.9849117,1.7184817,2.7353451,-1.9530742,2.964309"
Nest,Pangaea,[HES 002] Pangaea - Coiled / Nest / Deviant,2007,Dubstep,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea - [HES002] Coiled  Nest  Deviant/02 Pangaea - Nest.mp3,92.28515625,"-210.01854,110.0276,17.539354,2.1962142,-0.0066884058,3.5054176,2.9530914,4.3676276,1.0709903,3.2897704,2.9160385,9.050286,3.5248947,4.2364407,3.0906062,7.1887035,7.807525,7.499049,2.8090544,3.0743294"
Deviant,Pangaea,[HES 002] Pangaea - Coiled / Nest / Deviant,2007,Dubstep,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea - [HES002] Coiled  Nest  Deviant/03 Pangaea - Deviant.mp3,135.99917763157896,"-224.30875,153.90248,25.096655,21.431263,22.151844,9.83861,7.0328298,9.324531,5.060566,8.988042,4.947425,0.46111414,-0.6361523,0.335562,-1.9265746,-2.5086844,1.0572889,1.190602,-0.3676482,1.282863"
Mutual Exchange,Pangaea,In Drum Play,2016,Electronic,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea-In_Drum_Play-(HESLP003)-WEB-2016-MOHAWK/01-pangaea-mutual_exchange-582cb15b.mp3,103.359375,"-115.64673,119.17626,5.2894406,16.057602,-4.887508,3.882581,2.2682548,0.9008734,-3.902586,-1.9347303,-1.6831365,-2.0063787,-5.036366,0.48283073,-5.3997345,-2.1869006,-3.889046,-0.4712398,-2.7309012,0.73146784"
Rotor Soap,Pangaea,In Drum Play,2016,Electronic,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea-In_Drum_Play-(HESLP003)-WEB-2016-MOHAWK/02-pangaea-rotor_soap-4a3cce47.mp3,129.19921875,"-72.45894,49.388832,10.85286,9.60912,0.50325584,18.269203,2.224977,13.35191,2.6830413,3.584395,2.567542,5.498126,0.86943483,3.2639725,-0.5920221,5.2745986,-1.7402303,6.3149776,4.6928916,7.37879"
Bulb in Zinc,Pangaea,In Drum Play,2016,Electronic,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea-In_Drum_Play-(HESLP003)-WEB-2016-MOHAWK/03-pangaea-bulb_in_zinc-225ff5d2.mp3,99.38401442307692,"-139.9938,80.91924,3.4864204,17.424442,-0.7547547,8.848534,2.1114378,5.90551,0.2086181,2.730524,-1.9512438,1.1910231,-0.11635265,3.018324,-3.622158,2.790095,-1.6073426,1.661806,-0.8850896,0.23673838"
More Is More to Burn,Pangaea,In Drum Play,2016,Electronic,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea-In_Drum_Play-(HESLP003)-WEB-2016-MOHAWK/04-pangaea-more_is_more_to_burn-8bd2a363.mp3,129.19921875,"-73.67713,82.039055,15.632227,23.66455,0.25763676,7.0646067,3.5843735,8.396876,1.7073718,2.7692678,4.3426194,5.1260505,-1.0802082,5.4229665,1.2375648,1.7681757,-0.7840993,4.027144,-1.5416199,2.5824714"
Scaled Wing,Pangaea,In Drum Play,2016,Electronic,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea-In_Drum_Play-(HESLP003)-WEB-2016-MOHAWK/05-pangaea-scaled_wing-68d6cc02.mp3,112.34714673913044,"-286.129,134.00383,10.661545,14.200263,3.7839622,11.217506,3.6313367,2.2582583,-0.9165192,0.9229405,-0.42928326,-0.9486626,-1.0358644,2.1932209,0.9625768,-0.24822198,-1.1937394,0.08915671,0.28461015,-0.25541615"
One by One,Pangaea,In Drum Play,2016,Electronic,Hessle Audio,/mnt/d/MIR_music/Hessle/Pangaea-In_Drum_Play-(HESLP003)-WEB-2016-MOHAWK/06-pangaea-one_by_one-ff7b952e.mp3,129.19921875,"-59.783993,76.314995,18.195751,27.98464,8.236632,19.135153,3.9452987,5.377023,2.025548,3.9248865,-1.5283183,1.2427974,0.75577945,4.4549866,4.3307567,2.1695287,3.1107473,4.360433,0.9096552,3.6098545"
