title,artist,album,year,genre,label,file_path,tempo,timbre
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dexter - Bo-Dyned (Clone Basement Series 09).mp3,117.45383522727273,"-161.53102,83.22525,10.098603,27.271652,16.400848,24.597803,5.3047175,8.708396,4.5802264,10.755509,1.2028761,8.063728,-2.6084936,4.555338,2.3903475,5.3175683,4.6722193,0.5214189,2.4810693,2.0445795"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dexter - Fat Skinny Bonus (Clone Crown Ltd. 05).mp3,135.99917763157896,"-181.64647,90.696396,15.364032,18.010523,11.081905,14.263416,13.762942,10.182637,2.8199165,9.083866,6.0556192,7.422833,4.0504208,5.953754,3.0227964,6.842274,4.1701694,7.1047926,0.3218103,3.6422336"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dexter - Fat Skinny People (Clone Crown Ltd. 05).mp3,135.99917763157896,"-125.52632,89.19473,0.2138082,17.712158,11.561948,14.1489105,10.7925005,7.53673,5.204749,9.947076,3.8417354,7.454322,6.08331,6.847081,2.971507,6.696693,5.80508,9.327953,0.56175435,3.2283895"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dexter - Great Northern Driver A1 Great Northern Driver.mp3,107.666015625,"-146.90233,106.643776,15.412733,6.9231114,0.42297652,0.3271621,1.6527056,15.764971,11.710233,12.057486,2.4664838,4.7534757,-4.6085577,3.1271014,-2.0876093,9.67368,3.1174068,11.478067,2.4541485,6.2000103"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dexter - Great Northern Driver B1 T.H.I.N.G.mp3,135.99917763157896,"-153.07286,96.41144,-2.5830975,32.42417,1.6047466,22.42768,9.209647,13.471035,6.891911,10.266827,8.438383,3.7445595,-1.8041487,4.191239,-3.3433983,2.681999,2.2299573,0.25856662,1.297013,1.1324372"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dexter - Great Northern Driver B2 Bo Dyned.mp3,117.45383522727273,"-158.7572,82.74188,9.202891,26.128912,17.897657,27.31266,6.2982655,10.267315,5.284918,11.711626,2.200861,8.75866,-2.0437388,5.3835473,3.0266364,6.6603813,5.1999254,1.3763471,2.8150249,2.646867"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dexter - Space Booty (Clone Crown Ltd. 05).mp3,67.99958881578948,"-189.61836,109.36074,2.7829995,16.357489,23.056652,24.536879,14.253393,13.472321,5.3371463,11.337099,2.7575393,5.9190955,2.1139472,1.365122,0.14076085,3.0929894,2.4467096,4.666807,1.4011618,3.1279182"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dharma - Plastic Doll (Instrumental) (Clone Classic Cuts 02).mp3,117.45383522727273,"-134.08199,65.00382,-5.7982497,28.202051,6.4898,9.855608,-2.4446502,7.8419223,0.5416019,2.8819346,-1.0679008,2.6954486,2.008064,3.3456202,0.94853145,4.731252,-0.9414895,4.522176,-0.82128483,3.8307314"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dharma - Plastic Doll (Vocal) (Clone Classic Cuts 02).mp3,117.45383522727273,"-134.07741,68.865654,-8.472982,27.438822,9.3224,13.909602,2.2972465,7.5508637,2.483535,5.9860024,-0.4017253,4.5121493,0.16768195,1.2632666,0.11402288,4.059162,-0.9522208,2.993,-1.7150837,3.4118674"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dj Deep & Jovonn - Back In The Dark (Dub Mix) (Clone Club Series 03).mp3,123.046875,"-136.89745,67.59194,18.150284,6.801788,3.7732751,17.19815,7.022809,9.60886,3.9923568,4.0622387,1.2254448,7.708209,3.106864,5.873974,-1.8769001,1.4886603,-0.43134645,1.0677843,-2.7094736,3.6974144"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dj Deep & Jovonn - Back in the Dark (Original Mix) (Clone Club Series 03).mp3,123.046875,"-118.71487,64.828865,21.747965,3.7745192,-1.2045867,16.923307,2.9109864,7.5921645,3.1808982,4.8654995,-0.6219157,7.2214794,2.462481,5.4863586,-2.1134422,2.0252182,-2.3447924,0.7759913,-2.9165504,3.7282064"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Dj Deep & Jovonn - Spring (Clone Club Series 03).mp3,123.046875,"-182.28638,74.07975,52.765892,33.113525,9.073053,20.446766,5.6059093,5.4510274,1.6464518,10.225714,11.174632,18.246233,5.3650937,4.487963,2.092522,3.1319866,-2.7938867,-0.10158755,-4.4937897,-2.1847377"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/DJ HAUS - Acid Bleep - Clone Jack For Daze 24 (Official Video).mp3,129.19921875,"-90.17978,54.785534,26.694109,24.119564,17.65337,20.234518,8.086887,14.970698,-0.67720383,3.703376,-7.148506,2.541069,2.4572692,5.9531837,0.064196594,-0.68481785,-4.2668257,1.4675055,-4.018843,-2.5436888"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/DJ HAUS - IN THE BODY (acid dub ) - CJFD-XXX.mp3,99.38401442307692,"-60.149017,44.25275,13.821307,19.899977,8.505406,15.43822,10.193941,10.681145,-0.506041,6.933569,-0.36178496,8.482626,2.93383,4.3537555,-3.8293116,6.7204123,1.1814505,0.24072903,-2.5036418,1.2373015"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/DJ HAUS - NO SENSE - CJFD-XXX.mp3,123.046875,"-93.3688,31.649902,25.81881,15.18189,14.832365,20.875965,1.7537206,11.79214,-4.2404613,8.435466,3.8168387,7.720695,0.3821284,5.092196,7.4921284,7.8151855,-5.820418,-1.1828951,0.2833657,5.5121083"
