,title,artist,album,year,genre,label,file_path,tempo,timbre,genres,styles
483,Cat Ears,DJ Shark,I Don't Dance / Cat Ears,2016,,Unknown to the Unknown,/mnt/d/UTTU/DJ Plant Texture & DJ Shark/DJ Shark - I Don't Dance - Cat Ears - 02 Cat Ears.mp3,73.828125,"-78.117035,22.069874,16.859888,23.284243,7.125593,13.247335,-5.7472234,7.716373,-6.204115,4.3320675,-2.516673,2.6640139,-3.481573,-1.0175289,-3.2224407,1.1270732,-4.7295246,2.2038856,1.6829234,4.3610945",Electronic,"Jungle, Drum n Bass, Acid House"
484,All Junglist,DJ Q,All Junglist,2012,,Unknown to the Unknown,/mnt/d/UTTU/DJ Q/DJ Q - All Junglist - 01 All Junglist.mp3,135.99917763157896,"-54.842472,48.492355,14.458078,17.98997,5.7487593,15.971535,4.611896,12.247238,8.318375,12.151461,4.137778,6.1249022,6.064412,7.3396807,4.4349923,4.7892876,3.7209165,5.019357,4.318814,3.025488",Electronic,"Drum n Bass, Jungle, Bassline"
485,Will I Ever Be Free,DJ Q,All Junglist,2012,,Unknown to the Unknown,/mnt/d/UTTU/DJ Q/DJ Q - All Junglist - 02 Will I Ever Be Free.mp3,69.83741554054055,"-45.39363,52.679104,-2.427747,25.6037,7.5290008,14.777163,1.6400234,9.275749,0.01369152,8.520588,1.5793394,6.555287,1.7849132,4.4966035,0.57576936,1.4608148,-2.997689,1.3981127,-2.852178,6.9173527",Electronic,"Drum n Bass, Jungle, Bassline"
486,99,DJ Q,All Junglist,2012,,Unknown to the Unknown,/mnt/d/UTTU/DJ Q/DJ Q - All Junglist - 03 99.mp3,66.25600961538461,"-100.33041,57.896275,4.0676346,27.11519,0.4823924,18.179985,-0.26795223,6.5385804,-1.7163846,4.3153353,0.33189252,4.693061,-0.32432312,0.7020044,-4.639754,0.8272033,-2.6890492,3.2305744,-0.30901477,3.0107193",Electronic,"Drum n Bass, Jungle, Bassline"
487,Freee (House Mix),DJ STEAW,Freee,2020,,Unknown to the Unknown,/mnt/d/UTTU/DJ STEAW/DJ STEAW - Freee - 01 Freee (House Mix).mp3,129.19921875,"-131.23454,67.18638,27.090403,27.237267,11.768581,17.059412,10.5609455,10.7701435,3.1702306,9.650608,5.1212416,7.139746,6.5831547,9.094164,3.1592858,4.1816716,-0.79987985,5.3872547,2.2637665,3.0072432","Electronic, Funk / Soul","House, Boogie"
488,Freee (Original Mix),DJ STEAW,Freee,2020,,Unknown to the Unknown,/mnt/d/UTTU/DJ STEAW/DJ STEAW - Freee - 02 Freee (Original Mix).mp3,107.666015625,"-159.21075,60.259686,22.411955,25.11948,7.2669463,17.779247,7.344155,10.366794,4.3168077,7.691109,1.1175493,3.6459193,-1.3697814,1.2341946,-0.40427297,0.22286966,-3.8159914,1.3339548,-2.4086254,2.134661","Electronic, Funk / Soul","House, Boogie"
489,Walk In Broadway,DJ STEAW,Freee,2020,,Unknown to the Unknown,/mnt/d/UTTU/DJ STEAW/DJ STEAW - Freee - 03 Walk In Broadway.mp3,123.046875,"-147.01125,88.64376,37.178093,34.454372,14.890291,27.073704,10.949727,11.203974,5.172787,13.391294,3.1483803,5.277637,2.2393637,5.859672,5.678777,5.5165796,-4.5493045,2.1793036,2.5649621,3.261973","Electronic, Funk / Soul","House, Boogie"
490,Get Down (Original Mix),DJ STEAW,Frogman EP,2016,,Unknown to the Unknown,/mnt/d/UTTU/DJ STEAW/DJ STEAW - Frogman EP - 01 Get Down (Original Mix).mp3,123.046875,"-107.86616,55.4626,-1.8120031,21.490025,9.4403715,29.896563,5.7644367,10.41981,0.19473709,8.92951,4.1461,2.989366,-0.05780683,6.3185205,5.532863,4.3026786,-4.138263,3.0571983,2.5352519,4.6883125",Search Failed,Search Failed
491,Get Down (Dub Mix),DJ STEAW,Frogman EP,2016,,Unknown to the Unknown,/mnt/d/UTTU/DJ STEAW/DJ STEAW - Frogman EP - 02 Get Down (Dub Mix).mp3,123.046875,"-120.39641,73.08152,28.346697,39.50394,12.408136,27.942461,11.187976,13.845161,8.924828,10.341911,3.6084297,5.415116,3.7716458,6.3783755,5.912969,0.97693986,-1.5694308,0.7749521,-3.3422399,5.34181",Search Failed,Search Failed
492,Frogman,DJ STEAW,Frogman EP,2016,,Unknown to the Unknown,/mnt/d/UTTU/DJ STEAW/DJ STEAW - Frogman EP - 03 Frogman.mp3,123.046875,"-79.1767,41.035683,8.195561,21.985138,2.1722522,32.771538,3.707087,11.707037,3.8560326,13.94957,5.629614,10.085781,7.499378,10.482918,4.4983287,5.232555,0.95581216,8.165487,1.1614376,5.0858274",Search Failed,Search Failed
493,Heaven,DJ STEAW,Heaven EP,2018,,Unknown to the Unknown,/mnt/d/UTTU/DJ STEAW/DJ STEAW - Heaven EP - 01 Heaven.mp3,123.046875,"-103.67612,84.67384,29.400166,25.220476,17.181269,27.500868,8.245056,13.288282,5.162912,7.999525,-0.6082187,0.9828172,-1.3192432,-1.4020079,-2.891889,3.764073,-4.5533376,-2.7415552,-3.8156826,-1.4277627",Electronic,Deep House
494,I See You,DJ STEAW,Heaven EP,2018,,Unknown to the Unknown,/mnt/d/UTTU/DJ STEAW/DJ STEAW - Heaven EP - 02 I See You.mp3,123.046875,"-89.98544,65.63899,1.7885115,37.179302,14.28026,23.417645,10.446789,15.676898,5.20426,10.533847,4.260736,8.288488,3.5393414,8.560318,3.9170182,6.5434055,0.8423451,3.9181492,0.8044694,5.4662623",Electronic,Deep House
495,Picpus,DJ STEAW,Heaven EP,2018,,Unknown to the Unknown,/mnt/d/UTTU/DJ STEAW/DJ STEAW - Heaven EP - 03 Picpus.mp3,123.046875,"-109.48258,62.0034,6.4911904,31.238491,10.762398,32.99611,13.508577,20.847527,3.3780165,9.628957,1.1494932,10.430757,5.3474703,5.3706803,2.47482,4.1767926,-3.1190922,0.25656772,2.1488783,8.09135",Electronic,Deep House
496,Assassin,DJ Stingray,Assassin,2011,,Unknown to the Unknown,/mnt/d/UTTU/DJ Stingray/DJ Stingray - Assassin - 01 Assassin.mp3,73.828125,"-66.95547,99.89517,-2.4083734,12.635408,11.651667,20.663172,4.3214774,6.4972982,13.545276,13.634169,8.174838,9.464315,0.79666555,10.80845,5.163855,13.048242,6.9277377,5.4142427,2.59955,3.9427845",Search Failed,Search Failed
497,Cryptic,DJ Stingray,Imping Is Easy EP,2014,,Unknown to the Unknown,/mnt/d/UTTU/DJ Stingray/DJ Stingray - Imping Is Easy EP - 01 Cryptic.mp3,69.83741554054055,"-135.16057,97.017944,15.286982,27.263205,20.29493,19.13289,13.389785,15.570916,9.643191,18.491179,10.2507,13.890575,7.995648,7.7380238,1.3204986,4.4675145,-0.19721396,3.2805083,0.072082624,5.7821684",Electronic,Electro
498,Know Your Enemy,DJ Stingray,Imping Is Easy EP,2014,,Unknown to the Unknown,/mnt/d/UTTU/DJ Stingray/DJ Stingray - Imping Is Easy EP - 02 Know Your Enemy.mp3,78.30255681818181,"-117.26658,84.16044,23.152523,53.685028,-1.0887611,24.287163,7.9847465,20.896025,5.5991025,16.30681,-0.19460028,6.5503488,2.4301693,10.328499,2.1865141,5.678748,-2.7012434,-2.9568608,-3.208154,-2.6141775",Electronic,Electro
499,Solitude,DJ Stingray,Imping Is Easy EP,2014,,Unknown to the Unknown,/mnt/d/UTTU/DJ Stingray/DJ Stingray - Imping Is Easy EP - 03 Solitude.mp3,143.5546875,"-88.71559,71.136734,-22.943235,43.579803,0.37536043,16.200481,18.105003,17.222183,-2.2947798,12.324924,1.5879647,9.792711,9.775011,8.774172,2.2952166,2.8554943,-2.8820758,2.7626698,3.6086483,2.8731587",Electronic,Electro
500,Unknown To The Unknown DJ Mix,DJ Stingray,,2019,,Unknown to the Unknown,/mnt/d/UTTU/DJ Stingray/DJ Stingray - Unknown To The Unknown DJ Mix.mp3,151.99908088235293,"-81.954185,71.01232,21.690548,17.49763,11.608895,12.011395,1.9469374,7.3309536,2.8523452,8.071462,-0.24261503,7.33304,2.712054,6.27256,0.12973082,4.57181,1.2348744,4.65943,-0.8294334,2.240008",Search Failed,Search Failed
501,Assassin,DJ Stingray,Assassin,2011,,Unknown to the Unknown,/mnt/d/UTTU/DJ Stingray - Assassin/DJ Stingray - Assassin - 01 Assassin.mp3,73.828125,"-66.95547,99.89517,-2.4083734,12.635408,11.651667,20.663172,4.3214774,6.4972982,13.545276,13.634169,8.174838,9.464315,0.79666555,10.80845,5.163855,13.048242,6.9277377,5.4142427,2.59955,3.9427845",Search Failed,Search Failed
502,Hard Workin' Trax 1,DJ Vague,Hard Workin' Trax,2014,,Unknown to the Unknown,/mnt/d/UTTU/DJ Vague/DJ Vague - Hard Workin' Trax - 01 Hard Workin' Trax 1.mp3,129.19921875,"-59.725365,49.20504,0.67935103,22.683716,17.972532,41.274776,14.442832,12.81862,6.294467,7.1228914,-1.1196848,2.5261314,1.3008354,4.515087,-3.0109015,3.5331357,-2.5335083,0.69489413,-0.0700453,-2.9198508",Electronic,"House, Techno"
503,Hard Workin' Trax 2,DJ Vague,Hard Workin' Trax,2014,,Unknown to the Unknown,/mnt/d/UTTU/DJ Vague/DJ Vague - Hard Workin' Trax - 02 Hard Workin' Trax 2.mp3,135.99917763157896,"-63.043053,52.793404,-16.807102,-9.483261,1.2357534,10.688766,2.8245535,8.493737,5.2035203,8.284222,1.3363643,5.473512,2.8511152,6.2781963,5.2249465,8.962307,2.6169167,7.839596,3.9817333,5.3071575",Electronic,"House, Techno"
504,Hard Workin' Trax 3,DJ Vague,Hard Workin' Trax,2014,,Unknown to the Unknown,/mnt/d/UTTU/DJ Vague/DJ Vague - Hard Workin' Trax - 03 Hard Workin' Trax 3.mp3,143.5546875,"-7.6936927,51.409225,-11.250351,29.293655,-9.729359,11.080973,1.1454195,6.0950136,-0.41798174,5.6248016,-2.895849,3.626257,2.8899164,9.965111,7.4997387,14.059617,7.615924,7.265716,2.2490056,3.1209471",Electronic,"House, Techno"
505,Stop Fidgeting,DJ Wiggle,Stop Fidgeting,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - Stop Fidgeting - 01 Stop Fidgeting.mp3,67.99958881578948,"-104.123856,36.84376,-14.642163,24.71387,-3.8113873,14.870913,-1.8208392,7.265984,1.1592842,5.75542,-1.6433101,3.350012,-3.3556511,0.8428343,-2.5166628,3.0738864,0.24905035,5.307956,3.7020977,9.048079",Electronic,"UK Garage, House"
506,Voice Mail,DJ Wiggle,Stop Fidgeting,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - Stop Fidgeting - 02 Voice Mail.mp3,129.19921875,"-105.72707,81.43888,-6.4933434,31.997889,-16.168821,16.153893,-9.901074,5.4435587,-11.554183,5.313235,-5.958887,0.47303206,-3.7936404,1.0833176,-0.3338574,0.9436965,-6.9225774,-1.1849095,-2.8187459,0.9943806",Electronic,"UK Garage, House"
507,Hybrid Spirit,DJ Wiggle,Stop Fidgeting,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - Stop Fidgeting - 03 Hybrid Spirit.mp3,86.1328125,"-144.0769,67.713715,-19.605846,24.362917,9.721357,22.009233,5.694212,11.743296,8.3356905,10.269976,-0.076900214,5.176329,1.9481056,3.6778574,0.85419154,2.8056543,-3.8341324,-2.9079847,-0.026261007,5.76375",Electronic,"UK Garage, House"
508,The Spirit,DJ Wiggle,The Spirit,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - The Spirit - 01 The Spirit.mp3,67.99958881578948,"-105.288025,41.55857,14.072862,53.615765,3.3099256,24.254541,-3.0255983,12.617218,0.12390353,6.9353313,-1.8623923,8.892085,-2.6760426,5.025143,-0.3123104,2.4376423,-2.8255517,3.3573349,-4.2949553,4.0678353",Electronic,"UK Garage, House"
509,Pizza Scarface,DJ Wiggle,The Spirit,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - The Spirit - 02 Pizza Scarface.mp3,135.99917763157896,"-111.30007,68.45016,4.051907,30.629738,2.612621,13.370735,1.4006529,6.326718,1.0420451,6.8419304,-0.25813526,3.4816415,0.5096795,4.217283,-2.2134597,2.8864102,-2.821027,7.4419174,1.5760022,1.9981933",Electronic,"UK Garage, House"
510,Deepin It,DJ Wiggle,The Spirit,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - The Spirit - 03 Deepin It.mp3,135.99917763157896,"-123.496895,70.63923,13.25381,29.103428,-5.977686,13.47131,2.9756362,5.2996345,-2.6680946,0.4411228,-3.991153,0.1774772,-2.609768,-0.7339725,-0.29471973,-1.4502192,-3.7516913,4.6225863,-0.42741567,1.6807135",Electronic,"UK Garage, House"
511,Coming On,DJ Wiggle,Wiggle,2021,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - Wiggle - 01 Coming On.mp3,135.99917763157896,"-87.25166,82.85474,23.61498,28.273693,-2.2388403,25.484497,-0.26323023,12.093597,-3.264416,9.431302,3.929959,3.847791,3.83053,2.1935225,4.7514415,5.758049,0.11219406,4.357499,6.563048,10.367357",Search Failed,Search Failed
512,Cheese & Tickle,DJ Wiggle,Wiggle,2021,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - Wiggle - 02 Cheese & Tickle.mp3,135.99917763157896,"-92.29783,60.398083,22.20656,35.054123,16.368896,15.0595455,-1.4725945,6.4733815,-2.6273112,2.0687432,-0.39558476,2.523089,-1.552145,1.66798,-1.5873902,5.3102846,-0.14217079,2.6280847,-1.4768449,1.8028766",Search Failed,Search Failed
513,Tanker,DJ Wiggle,Wiggle,2021,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - Wiggle - 03 Tanker.mp3,67.99958881578948,"-51.558365,88.60073,15.651483,9.989422,6.4040256,10.829416,6.950615,10.193402,3.5657947,4.408143,2.7868116,4.090663,-0.39264515,4.348919,1.4712976,3.054058,-0.99983656,5.8599105,0.84172434,0.40226293",Search Failed,Search Failed
514,Wiggle,DJ Wiggle,Wiggle,2021,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - Wiggle - 04 Wiggle.mp3,135.99917763157896,"-112.4979,55.882984,57.110012,42.608917,1.4749582,18.410799,-10.632335,2.5780163,-9.41422,-7.4771276,-7.011377,1.9170362,0.081510745,3.2078815,1.6476821,4.8862834,0.99969566,4.778455,1.0452803,6.441556",Search Failed,Search Failed
515,Wiggle VIP,DJ Wiggle,Wiggle VIP,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - Wiggle VIP - 01 Wiggle VIP.mp3,135.99917763157896,"-38.825188,61.118477,17.32542,36.879692,10.106871,23.378855,-7.435187,11.693527,-1.7287512,6.011337,-2.4786453,6.792041,-0.10803226,2.9616382,-0.18483485,4.4983335,-2.9442997,4.013808,-0.18494461,1.8822507",Electronic,"UK Garage, House"
516,Cheese & Pickle,DJ Wiggle,Wiggle VIP,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle/DJ Wiggle - Wiggle VIP - 02 Cheese & Pickle.mp3,135.99917763157896,"-91.74551,23.92725,28.053408,34.80877,12.408414,15.292017,7.49422,2.3941958,-3.3363178,1.8163395,-0.19314152,4.6877503,3.5992491,10.364506,3.4104507,4.295653,0.89719105,5.8713164,-1.3480117,2.2395272",Electronic,"UK Garage, House"
517,Stop Fidgeting,DJ Wiggle,Stop Fidgeting,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle - Stop Fidgeting/DJ Wiggle - Stop Fidgeting - 01 Stop Fidgeting.mp3,67.99958881578948,"-104.123856,36.84376,-14.642163,24.71387,-3.8113873,14.870913,-1.8208392,7.265984,1.1592842,5.75542,-1.6433101,3.350012,-3.3556511,0.8428343,-2.5166628,3.0738864,0.24905035,5.307956,3.7020977,9.048079",Electronic,"UK Garage, House"
518,Voice Mail,DJ Wiggle,Stop Fidgeting,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle - Stop Fidgeting/DJ Wiggle - Stop Fidgeting - 02 Voice Mail.mp3,129.19921875,"-105.72707,81.43888,-6.4933434,31.997889,-16.168821,16.153893,-9.901074,5.4435587,-11.554183,5.313235,-5.958887,0.47303206,-3.7936404,1.0833176,-0.3338574,0.9436965,-6.9225774,-1.1849095,-2.8187459,0.9943806",Electronic,"UK Garage, House"
519,Hybrid Spirit,DJ Wiggle,Stop Fidgeting,2022,,Unknown to the Unknown,/mnt/d/UTTU/DJ Wiggle - Stop Fidgeting/DJ Wiggle - Stop Fidgeting - 03 Hybrid Spirit.mp3,86.1328125,"-144.0769,67.713715,-19.605846,24.362917,9.721357,22.009233,5.694212,11.743296,8.3356905,10.269976,-0.076900214,5.176329,1.9481056,3.6778574,0.85419154,2.8056543,-3.8341324,-2.9079847,-0.026261007,5.76375",Electronic,"UK Garage, House"
520,High Life,"DJ Y, Coco Bryce",High Life,2021,,Unknown to the Unknown,"/mnt/d/UTTU/DJ Y, Coco Bryce/DJ Y, Coco Bryce - High Life - 01 High Life.mp3",80.74951171875,"-124.95354,85.4996,32.4591,26.999994,16.970985,14.566799,0.15614006,4.5120034,-4.4829383,3.4919672,-4.9879165,2.5561984,-1.3490807,2.5109549,-0.94149137,-1.3943181,-1.581596,1.1905489,-0.17440377,0.3849514",Search Failed,Search Failed
521,Gutter Funk,"DJ Y, Coco Bryce",High Life,2021,,Unknown to the Unknown,"/mnt/d/UTTU/DJ Y, Coco Bryce/DJ Y, Coco Bryce - High Life - 02 Gutter Funk.mp3",161.4990234375,"-41.07682,109.83234,8.897765,24.758032,6.5542407,14.670784,1.3414489,10.261152,-1.8456215,8.915293,-0.67314494,5.0679398,-0.14364287,3.8121476,0.9403569,2.7091525,3.0559518,3.85827,0.23469947,2.519491",Search Failed,Search Failed
522,Modern Wank,"DJ Y, Coco Bryce",High Life,2021,,Unknown to the Unknown,"/mnt/d/UTTU/DJ Y, Coco Bryce/DJ Y, Coco Bryce - High Life - 03 Modern Wank.mp3",107.666015625,"-23.58244,54.940823,16.405268,43.002876,1.930337,17.726744,2.0372174,8.381206,0.41031522,4.1609864,-0.6875585,4.710799,-2.216994,2.7108715,-0.7618443,0.03304865,-0.18270622,1.2977802,-0.85174733,1.5462621",Search Failed,Search Failed
523,B Leave,Dubbel Dutch,B Leave + Nguzunguzu Remix,2011,,Unknown to the Unknown,/mnt/d/UTTU/Dubbel Dutch/Dubbel Dutch - B Leave + Nguzunguzu Remix - 01 B Leave.mp3,92.28515625,"-116.06644,64.63283,9.519976,11.216678,0.66339874,7.103009,-0.18540415,4.816194,-6.4158983,4.408289,-1.271519,6.573982,-0.30199355,4.132985,0.23829046,3.727908,1.1738249,3.5127568,1.314665,2.8906496",Search Failed,Search Failed
524,Dubbel Dutch - B Leave (Nguzunguzu Remix),Dubbel Dutch,B Leave + Nguzunguzu Remix,2011,,Unknown to the Unknown,/mnt/d/UTTU/Dubbel Dutch/Dubbel Dutch - B Leave + Nguzunguzu Remix - 02 Dubbel Dutch - B Leave (Nguzunguzu Remix).mp3,135.99917763157896,"-130.0465,89.79511,4.786304,6.004246,-3.8284805,5.7382627,7.795397,17.584593,7.827951,10.449063,1.9880038,5.1784067,4.572798,6.076191,-3.67448,-1.0529028,-4.7861295,-0.45210525,0.20610484,4.6213694",Search Failed,Search Failed
525,Dubbel Dutch - B Leave (DJ Q & TS7 Remix),Dubbel Dutch,B Leave DJ Q & TS7 Remix,2011,,Unknown to the Unknown,/mnt/d/UTTU/Dubbel Dutch/Dubbel Dutch - B Leave DJ Q & TS7 Remix - 01 Dubbel Dutch - B Leave (DJ Q & TS7 Remix).mp3,69.83741554054055,"-55.615566,55.68119,32.988914,17.300665,5.128645,13.034297,7.5672207,7.178494,0.5723279,9.762398,0.26847038,7.8272734,3.2181427,6.1541,-1.699997,2.7062483,-5.2502427,3.075043,-0.8014001,2.3142817",Electronic,Bassline
526,Brake (2012 Mix),Duncan Powell,Brake,2012,,Unknown to the Unknown,/mnt/d/UTTU/Duncan Powell/Duncan Powell - Brake - 01 Brake (2012 Mix).mp3,66.25600961538461,"-111.49231,57.895535,21.981016,16.130102,5.4734693,14.237293,0.6017925,9.774854,4.555176,8.329676,4.910356,7.8771033,1.6782467,4.912984,0.46241772,4.3906074,-1.7526811,4.4993963,-1.207993,2.0463707",Electronic,Grime
527,Brake (Original Mix),Duncan Powell,Brake,2012,,Unknown to the Unknown,/mnt/d/UTTU/Duncan Powell/Duncan Powell - Brake - 02 Brake (Original Mix).mp3,129.19921875,"-141.94366,55.71598,-21.065914,7.514337,1.3927542,15.599705,6.6911917,5.718516,-1.3062332,1.1447952,-0.7299308,3.5076706,-1.4424978,1.0967925,-3.1420362,1.2065115,-1.183872,5.7380967,3.8167517,4.3723764",Electronic,Grime
528,Astral Projection,e-freq,Astral Projection,2023,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Astral Projection - 01 Astral Projection.mp3,123.046875,"-107.50263,27.949713,27.153688,17.902515,11.225312,16.235462,2.7934625,9.645509,2.0455513,6.6560216,-2.4086583,9.25442,0.4627755,1.8156594,2.0910926,0.83985585,-3.328642,2.20455,-2.807743,2.7325625",Electronic,"Psy-Trance, Tech House"
529,Psychoactive Jelly,e-freq,Astral Projection,2023,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Astral Projection - 02 Psychoactive Jelly.mp3,135.99917763157896,"-41.316936,57.826984,1.0601841,15.925467,-1.1945174,4.494115,0.5869196,5.666202,-6.2538996,0.8359966,-4.800612,4.207186,-1.2329892,4.384197,0.8305576,4.151905,-2.6404474,2.0675626,-1.0028468,4.8638663",Electronic,"Psy-Trance, Tech House"
530,E Is 4 Freak,e-freq,Dance Trax Vol. 43,2022,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Dance Trax Vol. 43 - 01 E Is 4 Freak.mp3,135.99917763157896,"-92.469765,71.08398,-9.189233,29.858313,9.846532,12.555781,4.9772124,6.734534,1.3789865,2.7803423,-1.7860266,1.1924495,1.3787485,1.6855859,0.5978469,2.925214,-1.8579916,2.5750215,0.2607633,2.1524963",Electronic,"Bleep, Tech House"
531,Dream State,e-freq,Dance Trax Vol. 43,2022,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Dance Trax Vol. 43 - 02 Dream State.mp3,135.99917763157896,"-115.325424,74.33063,38.75607,19.296604,6.0571837,17.580648,1.6462874,13.426863,0.08393797,5.683869,-0.56075376,5.5048857,2.047745,4.094081,1.7622138,3.4165595,-5.3878593,0.7514132,0.18378179,3.587189",Electronic,"Bleep, Tech House"
532,State Of Peace,e-freq,Dance Trax Vol. 56,2023,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Dance Trax Vol. 56 - 01 State Of Peace.mp3,107.666015625,"-71.521545,64.43468,-18.185537,29.99347,-4.917591,6.11432,-7.8376374,3.5421803,-5.1699576,-5.5364084,-4.7919593,1.1701545,-5.357915,-0.31283882,-0.15719268,3.1224139,-1.0431402,4.9677386,1.621271,5.722011",Search Failed,Search Failed
533,State Of Peace (Tech House Mix),e-freq,Dance Trax Vol. 56,2023,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Dance Trax Vol. 56 - 02 State Of Peace (Tech House Mix).mp3,123.046875,"-131.49565,62.368805,18.132818,19.225546,2.0619729,7.477177,-6.9409285,9.632545,-3.5969338,3.5984368,-8.216885,4.10111,-3.9555593,0.8195175,8.27613,3.9899049,2.7609792,9.459031,5.0062056,5.0469666",Search Failed,Search Failed
534,Ace Of Bass,e-freq,Dance Trax Vol. 56,2023,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Dance Trax Vol. 56 - 03 Ace Of Bass.mp3,123.046875,"-121.55534,37.07311,32.163982,6.408867,3.1242652,7.3996673,-1.1876687,7.431819,-2.7625918,2.9628565,-1.2485904,2.7161698,-3.7819183,-3.1810167,-1.4810523,5.1971135,2.1462874,4.988347,4.265488,3.2236829",Search Failed,Search Failed
535,The Dreamer,E-Freq,E-Freq By Nature,2023,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/E-Freq - E-Freq By Nature - 03 The Dreamer.mp3,112.34714673913044,"-92.44254,76.29085,27.690779,37.81747,-8.96576,19.650763,-2.0074952,14.700637,-2.9670148,9.137275,-1.820477,6.446233,-1.7542173,3.9032717,-0.6330118,5.0127707,-0.82130015,-0.20090866,-4.1626062,3.3193617",Search Failed,Search Failed
536,Existence,e-freq,Existance,2022,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Existance - 01 Existence.mp3,123.046875,"-97.240395,91.57438,16.8462,24.40951,21.947718,4.384066,7.71064,7.650122,1.5428162,1.1570097,-2.8515813,5.298018,-5.565202,4.3329673,-1.2249128,2.551957,-4.730103,3.0966024,-3.5474756,-1.7922319",Electronic,Tech House
537,Higher Dimension,e-freq,Existance,2022,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Existance - 02 Higher Dimension.mp3,83.35433467741936,"-116.8138,83.044426,39.118355,27.797436,4.124777,9.60985,-3.3083208,11.867086,-5.1570334,5.447559,-5.2435164,2.425302,-2.3955352,5.31568,2.0939767,3.5621765,-0.82975245,0.73114157,-4.551789,2.2625756",Electronic,Tech House
538,The Planets,e-freq,Existance,2022,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Existance - 03 The Planets.mp3,129.19921875,"-89.84362,45.19501,48.524174,16.619696,11.609187,6.4188147,1.9392046,11.888983,-0.9096595,7.934295,-3.7393584,2.0560262,-3.3593948,4.7967143,-0.6001047,1.818768,-0.71024394,2.4672568,0.8929764,5.3694596",Electronic,Tech House
539,Freq Dance,e-freq,Freq Dance,2021,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Freq Dance - 01 Freq Dance.mp3,123.046875,"-140.08035,71.42796,32.054615,25.792551,16.139181,19.73505,15.543983,11.665129,0.8247205,9.395344,3.1351576,3.491203,0.9517971,8.118043,6.2531996,14.343948,5.3359513,5.8392673,-0.9536518,4.739195",Electronic,"Bleep, House"
540,Freq Dub,e-freq,Freq Dance,2021,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Freq Dance - 02 Freq Dub.mp3,123.046875,"-99.212975,73.10482,20.53806,40.405384,19.442177,7.3633366,-5.446881,10.408827,8.815338,-5.183694,-12.496742,8.543971,-4.722589,1.7307333,-0.7650829,-2.372308,4.5966415,2.1333334,-5.3265085,9.450839",Electronic,"Bleep, House"
541,Mind The Gap,e-freq,Freq Dance,2021,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Freq Dance - 03 Mind The Gap.mp3,123.046875,"-129.68686,47.957695,-1.5340921,-5.201096,5.7671146,17.715069,10.949402,12.732714,-2.0799997,1.497278,-3.1550639,6.3281193,4.645943,6.800829,-0.8641553,2.8629858,-2.1398947,2.181095,-1.8602614,1.4590108",Electronic,"Bleep, House"
542,Rainbow Planet,e-freq,Freq Dance,2021,,Unknown to the Unknown,/mnt/d/UTTU/e-freq/e-freq - Freq Dance - 04 Rainbow Planet.mp3,129.19921875,"-118.63346,64.01265,32.469006,20.274015,3.224856,13.919718,2.3500948,10.033702,3.8666306,6.9646654,-4.7579384,3.6579454,1.1442882,6.231037,-0.6497328,4.7381663,1.4464302,6.2420626,1.8496125,4.561892",Electronic,"Bleep, House"
